DBASSP3_11539	DBASSP3_11539
DBASSP3_18448	DBASSP3_18448
DRAMP03835	DRAMP03835
DRAMP03835	DBASSP3_4317
DRAMP00533	DRAMP00533
DRAMP00597	DRAMP00597
DRAMP00597	DRAMP00596
DRAMP00726	DRAMP00726
DRAMP00726	DRAMP00725
DRAMP00726	DRAMP00724
DRAMP04047	DRAMP04047
E05812|Avesin|oat(Avenasativa)	E05812|Avesin|oat(Avenasativa)
E05812|Avesin|oat(Avenasativa)	PPepDB_2874
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	satpdb18830
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	PPepDB_3851
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	PPepDB_2388
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	PPepDB_3965
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	PPepDB_3019
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	AP00915
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	CAMPSQ1489
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	satpdb12855
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	DBASSP3_5144
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	E03350|Fungalgrowthinhibitor,Pseudohevein|Pararubbertree(Heveabrasiliensis)
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	satpdb17774
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	DBASSP3_1134
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	AP00495
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	satpdb20949
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	CAMPSQ2948
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	DRAMP00987
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	DRAMP00988
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	PPepDB_3957
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	DRAMP00991
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	E08747|HeveinlikepeptideEeCBPb|Europeanspindletree(Euonymuseuropaeus)
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	PPepDB_2549
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	E08748|HeveinlikepeptideEeCBPl|Europeanspindletree(Euonymuseuropaeus)
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	PPepDB_2550
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	E07218|Antimicrobialpeptide9|grape(Vitisvinifera)
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	PPepDB_2180
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	PHYT00229
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	PHYT00230
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	satpdb19984
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	AP01587
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	AP01588
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	PPepDB_2389
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	PPepDB_2390
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	CAMPSQ8180
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	DRAMP00982
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	E07209|ChitinaseextracellularclassI[2362]grap|grape(Vitisvinifera)
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	PPepDB_2391
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	CAMPSQ8181
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	DBASSP3_2737
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	DRAMP00983
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	PPepDB_2393
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	DBASSP3_2738
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	PPepDB_2201
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	E07220|Antimicrobialpeptide10|grape(Vitisvinifera)
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	E05770|Antimicrobialpeptide,FaAMP1|buckwheat(Fagopyrumesculentum)
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	satpdb14377
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	E05771|Antimicrobialpeptide,FaAMP2|buckwheat(Fagopyrumesculentum)
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	E07208|Antimicrobialpeptide2|grape(Vitisvinifera)
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	E07210|Antimicrobialpeptide3|grape(Vitisvinifera)
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	PPepDB_2551
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	PPepDB_3562
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	E23161|MorintidemO1|horseradishtree(Moringaoleifera)
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	E23162|MorintidemO2|horseradishtree(Moringaoleifera)
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	PPepDB_3995
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	satpdb14823
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	DRAMP00993
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	PPepDB_3563
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	PPepDB_2386
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	PPepDB_2385
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	PPepDB_2387
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	E07212|ChitinasebasicclassI[2160|grape(Vitisvinifera)
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	E07207|Antimicrobialpeptide1|grape(Vitisvinifera)
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	E07211|Antimicrobialpeptide4|grape(Vitisvinifera)
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	PPepDB_2466
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	DBASSP3_5517
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	PPepDB_2553
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	DBASSP3_5518
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	PPepDB_2554
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	PPepDB_2555
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	satpdb27742
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	CAMPSQ1139
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	E03437|AntifungalpeptidePNAMP1|Japanesemorningglory(Pharbitisnil(violet))
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	E03438|AntifungalpeptidePNAMP2|Japanesemorningglory(Pharbitisnil(violet))
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	E06092|AntifungalpeptidepnAMPh1|Japanesemorningglory(Pharabitusnil)
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	E06093|AntifungalpeptidepnAMPh2|Japanesemorningglory(Pharabitusnil)
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	E04038|Fungalgrowthinhibitor,Hevein|Pararubbertree(Heveabrasiliensis)
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	PHYT00233
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	PHYT00234
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	PPepDB_2748
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	AP00270
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	AP01052
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	DBASSP3_12396
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	PPepDB_3990
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	PPepDB_2053
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	PPepDB_2054
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	satpdb20954
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	PPepDB_3953
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	DRAMP00985
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	PPepDB_3954
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	DRAMP00986
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	CAMPSQ542
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	DRAMP00989
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	E08750|Heveinlikepeptide1|mulberrytree(Morussp.)
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	E08746|HeveinlikepeptideSHHLPf|Europeanelder(Sambucusnigra)
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	PPepDB_2552
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	E08751|Heveinlikepeptide2|mulberrytree(Morussp.)
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	PPepDB_2504
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	PPepDB_2548
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	E07217|Antimicrobialpeptide8|grape(Vitisvinifera)
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	PPepDB_3852
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	PPepDB_1472
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	CAMPSQ2449
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	CAMPSQ1145
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	DBASSP3_12392
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	DBASSP3_12393
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	PPepDB_2144
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	DBASSP3_12394
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	DBASSP3_12395
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	CAMPSQ3261
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	DRAMP00980
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	DRAMP00981
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	E09066|Antimicrobialpeptide1a|wheat(Triticumkiharae)
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	AP01469
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	E09067|Antimicrobialpeptide1b|wheat(Triticumkiharae)
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	satpdb14396
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	AP01470
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	satpdb20203
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	DBASSP3_16439
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	satpdb21091
E08749|HeveinlikepeptideEechib/l|Europeanspindletree(Euonymuseuropaeus)	DBASSP3_5256
E05587|Histatin3.6|human(Homosapiens)	E05587|Histatin3.6|human(Homosapiens)
E22951|U1poneritoxinNi3b|ant(Ponerainversa)	E22951|U1poneritoxinNi3b|ant(Ponerainversa)
E22951|U1poneritoxinNi3b|ant(Ponerainversa)	DBASSP3_4268
E22951|U1poneritoxinNi3b|ant(Ponerainversa)	satpdb13224
E22951|U1poneritoxinNi3b|ant(Ponerainversa)	DBASSP3_4269
E22951|U1poneritoxinNi3b|ant(Ponerainversa)	CAMPSQ211
E22951|U1poneritoxinNi3b|ant(Ponerainversa)	DRAMP02754
E22951|U1poneritoxinNi3b|ant(Ponerainversa)	CAMPSQ212
E22951|U1poneritoxinNi3b|ant(Ponerainversa)	DRAMP02755
E22951|U1poneritoxinNi3b|ant(Ponerainversa)	CAMPSQ213
E22951|U1poneritoxinNi3b|ant(Ponerainversa)	DRAMP02756
E22951|U1poneritoxinNi3b|ant(Ponerainversa)	satpdb10915
E22951|U1poneritoxinNi3b|ant(Ponerainversa)	AP00377
E22951|U1poneritoxinNi3b|ant(Ponerainversa)	satpdb26595
E22951|U1poneritoxinNi3b|ant(Ponerainversa)	AP00378
E22951|U1poneritoxinNi3b|ant(Ponerainversa)	AP00379
E22951|U1poneritoxinNi3b|ant(Ponerainversa)	E22952|U1poneritoxinNi3a|ant(Ponerainversa)
LPDB_P2020017	LPDB_P2020017
PHYT00272	PHYT00272
PHYT00272	PHYT00273
PHYT00272	PHYT00270
PHYT00272	PHYT00271
DBASSP3_1978	DBASSP3_1978
DBASSP3_2192	DBASSP3_2192
DBASSP3_2192	DBASSP3_7018
DBASSP3_2192	satpdb25916
DBASSP3_2192	AP00987
DBASSP3_2278	DBASSP3_2278
DBASSP3_2278	DBASSP3_4908
DBASSP3_2278	DBASSP3_4910
DBASSP3_2278	DBASSP3_4913
DBASSP3_2278	DBASSP3_4915
DBASSP3_2278	DBASSP3_4918
DBASSP3_2278	CAMPSQ3118
DBASSP3_2278	DBASSP3_2300
DBASSP3_2278	DBASSP3_2302
DBASSP3_2278	satpdb15171
DBASSP3_2278	DBASSP3_4900
DBASSP3_2278	satpdb25277
DBASSP3_2278	AP01223
DBASSP3_2716	DBASSP3_2716
DBASSP3_2716	DBASSP3_2717
DBASSP3_2716	DBASSP3_2712
DBASSP3_2716	DBASSP3_2713
DBASSP3_2716	DBASSP3_2714
DBASSP3_2716	DBASSP3_2715
DBASSP3_2820	DBASSP3_2820
DBASSP3_3357	DBASSP3_3357
DBASSP3_3357	DRAMP02284
DBASSP3_3357	DRAMP02285
DBASSP3_3357	DBASSP3_17384
DBASSP3_3357	DBASSP3_17385
DBASSP3_3357	DBASSP3_17386
DBASSP3_3357	DBASSP3_11882
DBASSP3_3357	DBASSP3_17387
DBASSP3_3357	satpdb26169
DBASSP3_3357	DBASSP3_11883
DBASSP3_3357	DBASSP3_17388
DBASSP3_3357	DBASSP3_11884
DBASSP3_3357	DBASSP3_11885
DBASSP3_3357	DBASSP3_11886
DBASSP3_3357	DBASSP3_11887
DBASSP3_3357	DBASSP3_11888
DBASSP3_3357	DBASSP3_11889
DBASSP3_3357	DBASSP3_11890
DBASSP3_3357	DBASSP3_11933
DBASSP3_3357	satpdb27557
DBASSP3_3357	CAMPSQ242
DBASSP3_3357	CAMPSQ243
DBASSP3_3357	DBASSP3_3355
DBASSP3_3357	DRAMP02286
DBASSP3_3357	DRAMP02287
DBASSP3_3357	satpdb23177
DBASSP3_3357	satpdb20426
DBASSP3_3357	CAMPSQ244
DBASSP3_3357	CAMPSQ245
DBASSP3_3357	DBASSP3_6929
DBASSP3_3357	DBASSP3_6928
DBASSP3_3357	DBASSP3_6930
DBASSP3_3357	DBASSP3_6931
DBASSP3_3748	DBASSP3_3748
DBASSP3_3928	DBASSP3_3928
DBASSP3_3928	E11998|AntimicrobialpeptideEP19|bacterium:XenorhabdusbudapestensisNMC10
DBASSP3_3928	CAMPSQ4127
DBASSP3_3928	DRAMP02398
DBASSP3_3928	AP01969
DBASSP3_3928	satpdb17480
DBASSP3_4141	DBASSP3_4141
DBASSP3_4228	DBASSP3_4228
DBASSP3_4228	AP02116
DBASSP3_4228	satpdb20909
DBASSP3_4228	DRAMP01888
DBASSP3_4228	CAMPSQ3771
DBASSP3_4228	E10927|Brevinin1CHc|Chiricahualeopardfrog(Lithobateschiricahuensis)
DBASSP3_4468	DBASSP3_4468
DBASSP3_4468	satpdb13659
DBASSP3_4468	CAMPSQ2793
DBASSP3_4964	DBASSP3_4964
DBASSP3_5040	DBASSP3_5040
DBASSP3_5202	DBASSP3_5202
DBASSP3_5202	AP02876
DBASSP3_5202	DBASSP3_488
DBASSP3_5202	satpdb21867
DBASSP3_5202	satpdb20261
DBASSP3_5412	DBASSP3_5412
DBASSP3_6047	DBASSP3_6047
DBASSP3_6203	DBASSP3_6203
DBASSP3_6203	DBASSP3_8798
DBASSP3_6203	DBASSP3_8799
DBASSP3_6203	DBASSP3_17634
DBASSP3_6741	DBASSP3_6741
DBASSP3_6741	DBASSP3_6742
DBASSP3_6741	DBASSP3_6158
DBASSP3_6741	DBASSP3_6796
DBASSP3_6741	DBASSP3_7040
DBASSP3_7009	DBASSP3_7009
DBASSP3_7044	DBASSP3_7044
DBASSP3_7044	DBASSP3_7705
DBASSP3_7044	DBASSP3_7706
DBASSP3_7044	DBASSP3_7709
DBASSP3_7044	DBASSP3_7710
DBASSP3_7044	DBASSP3_7714
DBASSP3_7044	DBASSP3_6209
DBASSP3_7044	DBASSP3_6208
DBASSP3_7044	DBASSP3_7703
DBASSP3_7044	DBASSP3_7704
DBASSP3_7044	DBASSP3_7707
DBASSP3_7044	DBASSP3_7708
DBASSP3_7044	DBASSP3_7711
DBASSP3_7044	DBASSP3_7712
DBASSP3_7081	DBASSP3_7081
DBASSP3_7135	DBASSP3_7135
DBASSP3_7135	E13016|DiketopiperazineWF|bacterium:Comamonastestosteroni
DBASSP3_7135	E13013|DiketopiperazineWY|bacterium:Comamonastestosteroni
DBASSP3_7135	DBASSP3_6161
DBASSP3_7135	DBASSP3_7132
DBASSP3_7352	DBASSP3_7352
DBASSP3_7352	DBASSP3_7353
DBASSP3_7352	DBASSP3_7354
DBASSP3_7352	DBASSP3_7355
DBASSP3_7352	DBASSP3_15096
DBASSP3_7352	DBASSP3_18099
DBASSP3_7352	DBASSP3_18100
DBASSP3_7352	DBASSP3_18101
DBASSP3_7352	DBASSP3_18102
DBASSP3_7352	DBASSP3_18103
DBASSP3_7352	DBASSP3_18488
DBASSP3_7352	DBASSP3_15832
DBASSP3_7352	DBASSP3_7350
DBASSP3_7352	DBASSP3_7351
DBASSP3_7560	DBASSP3_7560
DBASSP3_7686	DBASSP3_7686
DBASSP3_7686	DBASSP3_7687
DBASSP3_7686	DBASSP3_7688
DBASSP3_7686	DBASSP3_7689
DBASSP3_7686	DBASSP3_7690
DBASSP3_7686	DBASSP3_7691
DBASSP3_7686	DBASSP3_7692
DBASSP3_7686	DBASSP3_7693
DBASSP3_7686	DBASSP3_7695
DBASSP3_7686	DBASSP3_7696
DBASSP3_7686	DBASSP3_7697
DBASSP3_8428	DBASSP3_8428
DBASSP3_9061	DBASSP3_9061
DBASSP3_9061	DBASSP3_9094
DBASSP3_9061	DBASSP3_9063
DBASSP3_9061	DBASSP3_9096
DBASSP3_9061	DBASSP3_9064
DBASSP3_9061	DBASSP3_9097
DBASSP3_9061	DBASSP3_9065
DBASSP3_9061	DBASSP3_9099
DBASSP3_9061	DBASSP3_9106
DBASSP3_9061	DBASSP3_9107
DBASSP3_9061	DBASSP3_9074
DBASSP3_9061	DBASSP3_7490
DBASSP3_9061	DBASSP3_9076
DBASSP3_9061	DBASSP3_7491
DBASSP3_9061	DBASSP3_9077
DBASSP3_9061	DBASSP3_7492
DBASSP3_9061	DBASSP3_7493
DBASSP3_9061	DBASSP3_9079
DBASSP3_9061	DBASSP3_7494
DBASSP3_9061	DBASSP3_9059
DBASSP3_9061	DBASSP3_9060
DBASSP3_9209	DBASSP3_9209
DBASSP3_9209	E19599|Diapausin1|tobaccohawkmoth(Manducasexta)
DBASSP3_9209	DRAMP03495
DBASSP3_9209	CAMPSQ1212
DBASSP3_9209	E04600|Antifunglapeptide,Spodomicin|Egyptiancottonleafworm(Spodopteralittoralis)
DBASSP3_9209	DRAMP03672
DBASSP3_9209	AP02718
DBASSP3_9209	E04595|Antimicrobialpeptide,Psychimicin|bagwormmoth(Oiketicuskirbyi)
DBASSP3_9209	DRAMP18448
DBASSP3_9209	CAMPSQ291
DBASSP3_9209	satpdb18817
DBASSP3_9209	DRAMP18197
DBASSP3_9265	DBASSP3_9265
DBASSP3_9265	DBASSP3_9576
DBASSP3_9265	DBASSP3_9266
DBASSP3_9265	DBASSP3_9267
DBASSP3_9265	DBASSP3_9268
DBASSP3_9265	DBASSP3_9269
DBASSP3_9265	DBASSP3_9270
DBASSP3_9265	DBASSP3_9253
DBASSP3_9265	DBASSP3_9254
DBASSP3_9265	DBASSP3_9259
DBASSP3_9265	DBASSP3_9260
DBASSP3_9265	DBASSP3_9263
DBASSP3_9265	DBASSP3_9264
DBASSP3_9479	DBASSP3_9479
DBASSP3_9631	DBASSP3_9631
DBASSP3_9631	DBASSP3_9632
DBASSP3_9631	DBASSP3_9633
DBASSP3_9631	DBASSP3_9657
DBASSP3_9631	DBASSP3_9660
DBASSP3_9631	DBASSP3_9629
DBASSP3_9631	DBASSP3_9661
DBASSP3_9674	DBASSP3_9674
DBASSP3_9674	DRAMP18431
DBASSP3_9674	AP02371
DBASSP3_9674	AP02742
DBASSP3_9674	DBASSP3_9673
DBASSP3_9766	DBASSP3_9766
DBASSP3_9820	DBASSP3_9820
DBASSP3_9820	DBASSP3_9821
DBASSP3_9820	AP02856
DBASSP3_9820	DBASSP3_9818
DBASSP3_9820	DBASSP3_9819
DBASSP3_10566	DBASSP3_10566
DBASSP3_10566	DRAMP20995
DBASSP3_10566	DRAMP20996
DBASSP3_10566	DBASSP3_10565
DBASSP3_11193	DBASSP3_11193
DBASSP3_11250	DBASSP3_11250
DBASSP3_11298	DBASSP3_11298
DBASSP3_11298	DBASSP3_11299
DBASSP3_11298	DBASSP3_11300
DBASSP3_11298	DBASSP3_11295
DBASSP3_11298	DBASSP3_7575
DBASSP3_11298	DBASSP3_7577
DBASSP3_11298	DBASSP3_11297
DBASSP3_11373	DBASSP3_11373
DBASSP3_11373	DBASSP3_6846
DBASSP3_11373	DBASSP3_12593
DBASSP3_11551	DBASSP3_11551
DBASSP3_11592	DBASSP3_11592
DBASSP3_11592	DBASSP3_11604
DBASSP3_11592	DBASSP3_11580
DBASSP3_14328	DBASSP3_14328
DBASSP3_14328	DBASSP3_14362
DBASSP3_14328	DBASSP3_14345
DBASSP3_14932	DBASSP3_14932
DBASSP3_14932	DBASSP3_14931
DBASSP3_15037	DBASSP3_15037
DBASSP3_15037	DBASSP3_15038
DBASSP3_15037	DBASSP3_15040
DBASSP3_15037	DBASSP3_15041
DBASSP3_15037	DBASSP3_15044
DBASSP3_15037	DBASSP3_15045
DBASSP3_15037	DBASSP3_15046
DBASSP3_15037	DBASSP3_15047
DBASSP3_15037	DBASSP3_15048
DBASSP3_15037	DBASSP3_15042
DBASSP3_15037	DBASSP3_15039
DBASSP3_15037	DBASSP3_15043
DBASSP3_15069	DBASSP3_15069
DBASSP3_15623	DBASSP3_15623
DBASSP3_15623	DBASSP3_18644
DBASSP3_16011	DBASSP3_16011
DBASSP3_16130	DBASSP3_16130
DBASSP3_16247	DBASSP3_16247
DBASSP3_16450	DBASSP3_16450
DBASSP3_16809	DBASSP3_16809
DBASSP3_16986	DBASSP3_16986
DBASSP3_17324	DBASSP3_17324
