,qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,DataBases,Code_SP,Name_SP,Organism_SP
336,AP00073,sp|P86149|BR1E_PELRI,100.0,24,0,0,1,24,1,24,6.78e-11,52.0,APD3,P86149,BR1E,PELRI
361,AP00080,sp|P32414|ES1_PELLE,100.0,46,0,0,1,46,1,46,5.7600000000000005e-27,94.0,APD3,P32414,ES1,PELLE
375,AP00089,sp|P80399|GGN5_GLARU,100.0,24,0,0,1,24,42,65,1.19e-09,49.7,APD3,P80399,GGN5,GLARU
386,AP00090,sp|P80400|GGN6_GLARU,100.0,24,0,0,1,24,1,24,1.37e-10,51.2,APD3,P80400,GGN6,GLARU
411,AP00102,sp|P55788|THAN_PODMA,100.0,21,0,0,1,21,1,21,2.38e-10,50.4,APD3,P55788,THAN,PODMA
412,AP00103,sp|P21924|DEF2_SORBI,48.8,43,20,2,4,45,6,47,1.42e-07,45.1,APD3,P21924,DEF2,SORBI
418,AP00114,sp|P82741|RAN1_LITCT,100.0,25,0,0,1,25,1,25,6.11e-12,54.7,APD3,P82741,RAN1,LITCT
421,AP00118,sp|P82828|RN2LA_RANLU,100.0,32,0,0,1,32,1,32,8.49e-08,44.7,APD3,P82828,RN2LA,RANLU
426,AP00119,sp|P82829|RN2LB_RANLU,100.0,32,0,0,1,32,1,32,2.23e-12,56.2,APD3,P82829,RN2LB,RANLU
443,AP00120,sp|P82840|RN2B_LITBE,100.0,28,0,0,1,28,1,28,4.33e-13,57.8,APD3,P82840,RN2B,LITBE
468,AP00121,sp|Q8QFQ4|RN2P_LITPI,100.0,28,0,0,1,28,44,71,1.09e-14,62.8,APD3,Q8QFQ4,RN2P,LITPI
493,AP00122,sp|P82875|RN1C_LITCL,100.0,25,0,0,1,25,1,25,3.54e-11,52.8,APD3,P82875,RN1C,LITCL
498,AP00123,sp|P82879|RN2CB_LITCL,100.0,27,0,0,1,27,1,27,3.49e-14,60.5,APD3,P82879,RN2CB,LITCL
501,AP00124,sp|P82878|RN2CA_LITCL,100.0,31,0,0,1,31,1,31,1.58e-16,66.6,APD3,P82878,RN2CA,LITCL
522,AP00127,sp|P83413|CECA_HELVI,100.0,35,0,0,1,35,1,35,1.2e-17,69.7,APD3,P83413,CECA,HELVI
546,AP00128,sp|P01509|CECB_ANTPE,100.0,35,0,0,1,35,1,35,8.47e-18,70.1,APD3,P01509,CECB,ANTPE
569,AP00135,sp|Q06590|CEC2_CERCA,100.0,39,0,0,1,39,24,62,1.65e-20,77.8,APD3,Q06590,CEC2,CERCA
594,AP00144,sp|C0HKN6|MAGR1_XENRU,100.0,23,0,0,1,23,1,23,1.85e-10,50.8,APD3,C0HKN6,MAGR1,XENRU
603,AP00146,sp|P68407|MEL_APICC,100.0,26,0,0,1,26,44,69,1.54e-11,54.7,APD3,P68407,MEL,APICC
613,AP00148,sp|P17737|AFP_ASPGI,100.0,51,0,0,1,51,44,94,3.6e-35,116.0,APD3,P17737,AFP,ASPGI
614,AP00150,sp|P33046|CTHL4_BOVIN,100.0,13,0,0,1,13,131,143,0.00016,37.4,APD3,P33046,CTHL4,BOVIN
615,AP00152,sp|P51524|PF11_PIG,100.0,13,0,0,1,13,112,124,0.000212,37.4,APD3,P51524,PF11,PIG
617,AP00153,sp|P56684|ANDT_ANDAU,100.0,25,0,0,1,25,1,25,2.2e-14,60.8,APD3,P56684,ANDT,ANDAU
618,AP00154,sp|Q9U8X3|TACA2_TACTR,100.0,44,0,0,1,44,24,67,2.7199999999999997e-30,102.0,APD3,Q9U8X3,TACA2,TACTR
620,AP00155,sp|P49928|SC51_SHEEP,100.0,29,0,0,1,29,132,160,1.87e-12,59.3,APD3,P49928,SC51,SHEEP
622,AP00157,sp|P24302|DRS1_PHYSA,100.0,34,0,0,1,34,46,79,1.5e-15,65.5,APD3,P24302,DRS1,PHYSA
632,AP00158,sp|P80278|DRS2_PHYSA,100.0,34,0,0,1,34,1,34,3.82e-16,65.9,APD3,P80278,DRS2,PHYSA
642,AP00159,sp|P80279|DRS3_PHYSA,100.0,30,0,0,1,30,1,30,1.39e-12,56.6,APD3,P80279,DRS3,PHYSA
655,AP00160,sp|P80280|DRS4_PHYSA,96.4,28,0,1,1,28,1,27,1.91e-07,43.5,APD3,P80280,DRS4,PHYSA
656,AP00161,sp|P80281|DRS5_PHYSA,100.0,29,0,0,1,29,1,29,0.000465,35.0,APD3,P80281,DRS5,PHYSA
657,AP00166,sp|P81941|PLE1_PSEAM,100.0,25,0,0,1,25,23,47,2.42e-12,56.6,APD3,P81941,PLE1,PSEAM
660,AP00171,sp|Q24395|MTK_DROME,100.0,26,0,0,1,26,27,52,5.2e-14,60.5,APD3,Q24395,MTK,DROME
661,AP00173,sp|P49112|DEF2_CAVPO,100.0,30,0,0,1,30,64,93,8.03e-19,73.9,APD3,P49112,DEF2,CAVPO
672,AP00174,sp|P11478|DEF1A_CAVPO,100.0,31,0,0,1,31,63,93,4.17e-19,74.7,APD3,P11478,DEF1A,CAVPO
679,AP00175,sp|P34084|HIS1_MACFA,100.0,38,0,0,1,38,1,38,1.99e-15,64.3,APD3,P34084,HIS1,MACFA
681,AP00176,sp|P59665|DEF1_HUMAN,100.0,30,0,0,1,30,65,94,2.88e-19,75.1,APD3,P59665,DEF1,HUMAN
693,AP00177,sp|P59665|DEF1_HUMAN,100.0,29,0,0,1,29,66,94,1.12e-18,73.6,APD3,P59665,DEF1,HUMAN
705,AP00178,sp|P59666|DEF3_HUMAN,100.0,30,0,0,1,30,65,94,7.09e-20,76.6,APD3,P59666,DEF3,HUMAN
717,AP00179,sp|P12838|DEF4_HUMAN,100.0,33,0,0,1,33,64,96,2.51e-19,75.5,APD3,P12838,DEF4,HUMAN
719,AP00180,sp|Q01523|DEF5_HUMAN,100.0,32,0,0,1,32,63,94,9.02e-19,73.9,APD3,Q01523,DEF5,HUMAN
744,AP00181,sp|Q01524|DEF6_HUMAN,100.0,32,0,0,1,32,69,100,3.18e-20,77.8,APD3,Q01524,DEF6,HUMAN
746,AP00184,sp|P28794|MBP1_MAIZE,100.0,33,0,0,1,33,1,33,9.1e-19,72.4,APD3,P28794,MBP1,MAIZE
747,AP00187,sp|P01376|DEF3_RABIT,100.0,33,0,0,1,33,63,95,4.81e-19,74.7,APD3,P01376,DEF3,RABIT
765,AP00188,sp|P01377|DEF4_RABIT,100.0,33,0,0,1,33,63,95,4.81e-19,74.7,APD3,P01377,DEF4,RABIT
778,AP00191,sp|P82358|GOME_ACAGO,100.0,18,0,0,1,18,24,41,1.27e-07,44.7,APD3,P82358,GOME,ACAGO
779,AP00192,sp|P81172|HEPC_HUMAN,100.0,20,0,0,1,20,65,84,1.23e-08,47.4,APD3,P81172,HEPC,HUMAN
784,AP00193,sp|P81172|HEPC_HUMAN,100.0,25,0,0,1,25,60,84,4.59e-15,63.9,APD3,P81172,HEPC,HUMAN
791,AP00194,sp|P27275|AMP_AMACA,100.0,30,0,0,1,30,26,55,9.5e-19,73.6,APD3,P27275,AMP,AMACA
816,AP00195,sp|P32194|PG1_PIG,100.0,18,0,0,1,18,131,148,3.8e-07,44.7,APD3,P32194,PG1,PIG
820,AP00202,sp|P25404|AMP2_MIRJA,100.0,36,0,0,1,36,28,63,3.8e-25,89.4,APD3,P25404,AMP2,MIRJA
825,AP00203,sp|P25403|AMP1_MIRJA,100.0,37,0,0,1,37,25,61,9.24e-26,90.9,APD3,P25403,AMP1,MIRJA
831,AP00210,sp|C0HKP0|PGLR2_XENRU,100.0,21,0,0,1,21,1,21,3.62e-05,37.4,APD3,C0HKP0,PGLR2,XENRU
834,AP00211,sp|P14215|PPM1_LIMPO,100.0,18,0,0,1,18,1,18,1.4e-08,45.8,APD3,P14215,PPM1,LIMPO
841,AP00212,sp|P14216|PPM2_LIMPO,100.0,18,0,0,1,18,1,18,9.86e-09,46.2,APD3,P14216,PPM2,LIMPO
848,AP00215,sp|P14214|TAC2_TACTR,100.0,17,0,0,1,17,24,40,7.37e-08,45.1,APD3,P14214,TAC2,TACTR
855,AP00217,sp|P07469|DEF1_RABIT,100.0,34,0,0,1,34,60,93,2.04e-20,78.2,APD3,P07469,DEF1,RABIT
863,AP00218,sp|P32195|PG2_PIG,100.0,16,0,0,1,16,131,146,9.61e-06,40.8,APD3,P32195,PG2,PIG
867,AP00219,sp|P32196|PG3_PIG,100.0,18,0,0,1,18,131,148,3.58e-08,47.4,APD3,P32196,PG3,PIG
871,AP00221,sp|P49934|PG5_PIG,100.0,18,0,0,1,18,131,148,1.82e-08,48.1,APD3,P49934,PG5,PIG
876,AP00222,sp|Q62716|DEF1_RAT,100.0,32,0,0,1,32,63,94,1.82e-18,73.2,APD3,Q62716,DEF1,RAT
891,AP00223,sp|Q62715|DEF2_RAT,100.0,32,0,0,1,32,63,94,1.28e-18,73.6,APD3,Q62715,DEF2,RAT
912,AP00224,sp|Q62713|DEF3A_RAT,100.0,29,0,0,1,29,59,87,3.6e-16,67.0,APD3,Q62713,DEF3A,RAT
930,AP00225,sp|Q62714|DEF4_RAT,100.0,31,0,0,1,31,63,93,6.88e-18,71.6,APD3,Q62714,DEF4,RAT
955,AP00234,sp|P06833|PYY2_BOVIN,100.0,47,0,0,1,47,33,79,6.06e-28,97.4,APD3,P06833,PYY2,BOVIN
956,AP00235,sp|P25068|TAP_BOVIN,100.0,38,0,0,1,38,27,64,2.8899999999999995e-23,84.7,APD3,P25068,TAP,BOVIN
981,AP00247,sp|P81251|CR18_RANCH,100.0,24,0,0,1,24,1,24,5.62e-10,49.7,APD3,P81251,CR18,RANCH
1004,AP00248,sp|P81252|CR19_RANCH,100.0,24,0,0,1,24,1,24,7.98e-10,49.3,APD3,P81252,CR19,RANCH
1027,AP00260,sp|P82066|MCU11_RANGE,95.5,22,0,1,1,22,1,21,2.68e-05,37.7,APD3,P82066,MCU11,RANGE
1029,AP00264,sp|P80389|AMP1_CHICK,100.0,39,0,0,1,39,1,39,1.0199999999999999e-24,87.8,APD3,P80389,AMP1,CHICK
1035,AP00265,sp|P46157|GLL1A_CHICK,94.1,34,1,1,1,33,26,59,2.12e-17,69.7,APD3,P46157,GLL1A,CHICK
1040,AP00268,sp|O19038|DEFB1_SHEEP,100.0,38,0,0,1,38,27,64,1.2199999999999999e-24,88.2,APD3,O19038,DEFB1,SHEEP
1065,AP00270,sp|P81591|AMP_IPONI,100.0,41,0,0,1,41,1,41,1.7e-26,92.4,APD3,P81591,AMP,IPONI
1090,AP00272,sp|P56386|DEFB1_MOUSE,100.0,37,0,0,1,37,33,69,1.3299999999999999e-24,88.2,APD3,P56386,DEFB1,MOUSE
1112,AP00274,sp|C0HKH8|CIRA_CHACT,100.0,30,0,0,1,30,1,30,1.54e-18,71.6,APD3,C0HKH8,CIRA,CHACT
1137,AP00275,sp|P56879|CIRB_CHAPA,100.0,31,0,0,1,31,1,31,1.63e-18,71.6,APD3,P56879,CIRB,CHAPA
1162,AP00276,sp|P80711|CLAVB_STYCL,95.7,23,1,0,1,23,1,23,2.62e-10,50.4,APD3,P80711,CLAVB,STYCL
1167,AP00277,sp|P80711|CLAVB_STYCL,100.0,23,0,0,1,23,1,23,9.15e-11,51.6,APD3,P80711,CLAVB,STYCL
1172,AP00278,sp|O18493|CLAVC_STYCL,100.0,23,0,0,1,23,30,52,3.94e-10,51.2,APD3,O18493,CLAVC,STYCL
1177,AP00279,sp|P80713|CLAVD_STYCL,100.0,23,0,0,1,23,30,52,3.94e-10,51.2,APD3,P80713,CLAVD,STYCL
1182,AP00281,sp|P51437|CAMP_MOUSE,100.0,33,0,0,1,33,140,172,3.52e-09,51.2,APD3,P51437,CAMP,MOUSE
1183,AP00282,sp|P56872|CYLA_PSYLO,100.0,31,0,0,1,31,1,31,9.48e-18,69.7,APD3,P56872,CYLA,PSYLO
1208,AP00283,sp|A4H1Z9|D103A_GORGO,100.0,45,0,0,1,45,23,67,5.55e-28,97.1,APD3,A4H1Z9,D103A,GORGO
1217,AP00284,sp|P83376|DBB2_DOLAU,100.0,33,0,0,1,33,1,33,5.46e-20,75.5,APD3,P83376,DBB2,DOLAU
1218,AP00286,sp|P30231|DEF1_SINAL,100.0,51,0,0,1,51,1,51,4e-38,122.0,APD3,P30231,DEF1,SINAL
1243,AP00287,sp|P30230|DEF2_RAPSA,100.0,51,0,0,1,51,30,80,1.2400000000000001e-37,122.0,APD3,P30230,DEF2,RAPSA
1268,AP00288,sp|P81572|DEFD1_SPIOL,100.0,21,0,0,1,21,2,22,1.67e-10,50.8,APD3,P81572,DEFD1,SPIOL
1272,AP00292,sp|P81573|DEFD7_SPIOL,100.0,38,0,0,1,38,1,38,1.36e-24,87.4,APD3,P81573,DEFD7,SPIOL
1295,AP00293,sp|P80282|DRS1_PHYBI,100.0,31,0,0,1,31,45,75,4.26e-14,61.6,APD3,P80282,DRS1,PHYBI
1305,AP00307,sp|P55897|H2A_BUFGR,100.0,39,0,0,1,39,1,39,3.9e-20,76.3,APD3,P55897,H2A,BUFGR
1330,AP00308,sp|P0DQL2|H2A_SPHLA,100.0,21,0,0,1,21,1,21,6.54e-08,44.3,APD3,P0DQL2,H2A,SPHLA
1355,AP00310,sp|P49913|CAMP_HUMAN,100.0,37,0,0,1,37,134,170,1.95e-17,72.8,APD3,P49913,CAMP,HUMAN
1374,AP00338,sp|P81903|H2B1_ICTPU,100.0,18,0,0,1,18,2,19,0.000133,35.8,APD3,P81903,H2B1,ICTPU
1375,AP00342,sp|O81338|AMP1_MESCR,100.0,38,0,0,1,38,27,64,8.910000000000001e-27,93.6,APD3,O81338,AMP1,MESCR
1382,AP00345,sp|P86502|CR110_LITRO,100.0,25,0,0,1,25,1,25,5.89e-10,49.7,APD3,P86502,CR110,LITRO
1405,AP00351,sp|P81835|CT11_RANCI,100.0,16,0,0,1,16,1,16,0.000949,33.5,APD3,P81835,CT11,RANCI
1406,AP00352,sp|P81840|CT12_RANCI,100.0,16,0,0,1,16,1,16,0.000949,33.5,APD3,P81840,CT12,RANCI
1407,AP00353,sp|P81846|CT13_RANCI,100.0,16,0,0,1,16,1,16,0.000472,34.3,APD3,P81846,CT13,RANCI
1410,AP00355,sp|P83171|GNK1_GINBI,100.0,40,0,0,1,40,1,40,4.3e-22,81.3,APD3,P83171,GNK1,GINBI
1417,AP00366,sp|P54228|CTHL6_BOVIN,100.0,27,0,0,1,27,132,158,4.84e-06,42.4,APD3,P54228,CTHL6,BOVIN
1418,AP00367,sp|P54229|CTHL5_BOVIN,100.0,28,0,0,1,28,132,159,2.24e-13,61.6,APD3,P54229,CTHL5,BOVIN
1421,AP00369,sp|P49930|PMP23_PIG,100.0,23,0,0,1,23,131,153,2.96e-10,53.1,APD3,P49930,PMP23,PIG
1422,AP00374,sp|P83313|NDB24_OPICA,100.0,44,0,0,1,44,23,66,3.13e-25,90.5,APD3,P83313,NDB24,OPICA
1429,AP00376,sp|P82414|GTX3A_NEOGO,100.0,30,0,0,1,30,1,30,1.01e-14,62.0,APD3,P82414,GTX3A,NEOGO
1440,AP00377,sp|P82415|GTX3B_NEOGO,100.0,30,0,0,1,30,1,30,1.75e-15,63.9,APD3,P82415,GTX3B,NEOGO
1450,AP00378,sp|P82416|GTX3C_NEOGO,100.0,30,0,0,1,30,1,30,2.12e-16,66.2,APD3,P82416,GTX3C,NEOGO
1460,AP00379,sp|P82417|GTX3D_NEOGO,100.0,29,0,0,1,29,1,29,1.93e-14,61.2,APD3,P82417,GTX3D,NEOGO
1471,AP00382,sp|P82420|GTX3G_NEOGO,100.0,19,0,0,1,19,1,19,5.68e-06,39.3,APD3,P82420,GTX3G,NEOGO
1473,AP00385,sp|P83312|NDB25_PARSC,100.0,45,0,0,1,45,1,45,8.7e-24,85.9,APD3,P83312,NDB25,PARSC
1482,AP00386,sp|P82423|WTX1A_NEOGO,100.0,25,0,0,1,25,1,25,2.05e-10,50.8,APD3,P82423,WTX1A,NEOGO
1486,AP00387,sp|P82424|WTX1B_NEOGO,100.0,25,0,0,1,25,1,25,2.05e-10,50.8,APD3,P82424,WTX1B,NEOGO
1490,AP00388,sp|P82425|WTX1C_NEOGO,100.0,26,0,0,1,26,1,26,3.74e-11,52.8,APD3,P82425,WTX1C,NEOGO
1492,AP00389,sp|P82426|WTX1D_NEOGO,100.0,26,0,0,1,26,1,26,1.11e-12,56.6,APD3,P82426,WTX1D,NEOGO
1493,AP00390,sp|P82427|WTX1E_NEOGO,100.0,24,0,0,1,24,1,24,3.93e-10,50.1,APD3,P82427,WTX1E,NEOGO
1498,AP00392,sp|P81056|PEN1_PENVA,100.0,50,0,0,1,50,1,50,3.5e-34,112.0,APD3,P81056,PEN1,PENVA
1518,AP00393,sp|P81057|PEN2A_PENVA,100.0,50,0,0,1,50,22,71,2.62e-35,115.0,APD3,P81057,PEN2A,PENVA
1539,AP00394,sp|P81058|PEN3A_PENVA,100.0,62,0,0,1,62,20,81,1.41e-44,140.0,APD3,P81058,PEN3A,PENVA
1561,AP00395,sp|Q95NT0|PEN4A_PENVA,100.0,47,0,0,1,47,20,66,1.1200000000000001e-32,108.0,APD3,Q95NT0,PEN4A,PENVA
1578,AP00399,sp|P82357|SPING_PSEUS,100.0,25,0,0,1,25,1,25,2.81e-08,45.4,APD3,P82357,SPING,PSEUS
1579,AP00400,sp|P80952|SPYY_PHYBI,100.0,36,0,0,1,36,1,36,3.24e-20,76.3,APD3,P80952,SPYY,PHYBI
1604,AP00401,sp|Q28880|LAP_BOVIN,100.0,45,0,0,1,45,20,64,3.08e-29,100.0,APD3,Q28880,LAP,BOVIN
1629,AP00402,sp|P18646|DEF_VIGUN,91.5,47,4,0,1,47,29,75,2.32e-31,105.0,APD3,P18646,DEF,VIGUN
1651,AP00403,sp|P82321|TERN_PSEUS,100.0,36,0,0,1,36,1,36,4.92e-24,85.9,APD3,P82321,TERN,PSEUS
1652,AP00407,sp|Q8QFQ4|RN2P_LITPI,92.6,27,2,0,1,27,44,70,2.57e-11,54.3,APD3,Q8QFQ4,RN2P,LITPI
1677,AP00420,sp|Q962A7|PEN4D_PENST,100.0,47,0,0,1,47,20,66,1.1200000000000001e-32,108.0,APD3,Q962A7,PEN4D,PENST
1696,AP00421,sp|Q963C3|PEN4C_PENVA,100.0,47,0,0,1,47,20,66,3.2200000000000004e-32,107.0,APD3,Q963C3,PEN4C,PENVA
1715,AP00422,sp|Q962B1|PEN3M_PENST,100.0,55,0,0,1,55,20,74,8.97e-38,122.0,APD3,Q962B1,PEN3M,PENST
1735,AP00423,sp|Q962B0|PEN3N_PENST,100.0,55,0,0,1,55,20,74,2.31e-31,106.0,APD3,Q962B0,PEN3N,PENST
1753,AP00424,sp|P84387|XT1_XENTR,100.0,27,0,0,1,27,1,27,5.81e-13,57.4,APD3,P84387,XT1,XENTR
1754,AP00427,sp|P84381|XT7_XENTR,100.0,18,0,0,1,18,1,18,0.000127,35.8,APD3,P84381,XT7,XENTR
1755,AP00428,sp|P80915|AMP1_MACIN,100.0,76,0,0,1,76,27,102,1.18e-55,169.0,APD3,P80915,AMP1,MACIN
1757,AP00429,sp|Q29075|NKL_PIG,100.0,78,0,0,1,78,47,124,3.93e-51,159.0,APD3,Q29075,NKL,PIG
1760,AP00433,sp|P81605|DCD_HUMAN,100.0,47,0,0,1,47,63,109,4.04e-15,65.9,APD3,P81605,DCD,HUMAN
1761,AP00436,sp|Q7M1F3|DEF1_AESHI,100.0,50,0,0,1,50,1,50,6.45e-39,124.0,APD3,Q7M1F3,DEF1,AESHI
1786,AP00437,sp|P13487|KAX11_LEIHE,97.3,37,1,0,1,37,23,59,4.9199999999999993e-23,84.0,APD3,P13487,KAX11,LEIHE
1811,AP00439,sp|P81468|DEF4_MESAU,100.0,33,0,0,1,33,1,33,2.7900000000000003e-22,81.3,APD3,P81468,DEF4,MESAU
1835,AP00440,sp|P81465|DEF1_MESAU,100.0,33,0,0,1,33,1,33,4.65e-21,78.2,APD3,P81465,DEF1,MESAU
1860,AP00442,sp|P81467|DEF3_MESAU,100.0,33,0,0,1,33,1,33,3.2700000000000004e-21,78.6,APD3,P81467,DEF3,MESAU
1885,AP00443,sp|P82317|DEF2_MACMU,100.0,30,0,0,1,30,1,30,4.58e-20,75.5,APD3,P82317,DEF2,MACMU
1895,AP00446,sp|P83186|BRA_BASAL,100.0,20,0,0,1,20,1,20,1.79e-07,43.1,APD3,P83186,BRA,BASAL
1896,AP00449,sp|P61281|MLA_CAMDR,100.0,13,0,0,1,13,1,13,0.000211,35.0,APD3,P61281,MLA,CAMDR
1904,AP00451,sp|P60022|DEFB1_HUMAN,100.0,36,0,0,1,36,33,68,2.06e-23,85.1,APD3,P60022,DEFB1,HUMAN
1928,AP00453,sp|P82904|BR1SA_LITSH,100.0,24,0,0,1,24,1,24,9.63e-11,51.6,APD3,P82904,BR1SA,LITSH
1953,AP00454,sp|P82905|BR1SB_LITSH,100.0,24,0,0,1,24,1,24,1.37e-10,51.2,APD3,P82905,BR1SB,LITSH
1978,AP00455,sp|P82906|BR1SC_LITSH,100.0,24,0,0,1,24,1,24,4.77e-11,52.4,APD3,P82906,BR1SC,LITSH
1995,AP00460,sp|P82841|BR1PA_LITPI,95.8,24,1,0,1,24,1,24,7.93e-10,49.3,APD3,P82841,BR1PA,LITPI
2020,AP00461,sp|P82825|BR1LA_RANLU,100.0,24,0,0,1,24,1,24,4.6e-09,47.4,APD3,P82825,BR1LA,RANLU
2039,AP00464,sp|P82834|BR1BB_LITBE,100.0,24,0,0,1,24,1,24,1.95e-10,50.8,APD3,P82834,BR1BB,LITBE
2064,AP00466,sp|P82836|BR1BD_LITBE,100.0,24,0,0,1,24,1,24,3.93e-10,50.1,APD3,P82836,BR1BD,LITBE
2089,AP00469,sp|P82841|BR1PA_LITPI,100.0,24,0,0,1,24,1,24,1.6e-09,48.5,APD3,P82841,BR1PA,LITPI
2114,AP00470,sp|P82843|BR1PC_LITPI,100.0,24,0,0,1,24,1,24,2.66e-08,45.4,APD3,P82843,BR1PC,LITPI
2124,AP00471,sp|P82844|BR1PD_LITPI,100.0,24,0,0,1,24,1,24,1.32e-08,46.2,APD3,P82844,BR1PD,LITPI
2137,AP00473,sp|Q8UUG0|MORO_MORSA,100.0,22,0,0,1,22,23,44,2.11e-09,49.3,APD3,Q8UUG0,MORO,MORSA
2141,AP00474,sp|P0C006|PISC3_MORCS,100.0,22,0,0,1,22,1,22,2.5e-10,50.4,APD3,P0C006,PISC3,MORCS
2145,AP00479,sp|P81418|PAFP_PHYAM,100.0,38,0,0,1,38,28,65,4.37e-25,89.4,APD3,P81418,PAFP,PHYAM
2150,AP00483,sp|P81929|DEF1_PEA,100.0,46,0,0,1,46,1,46,2.69e-34,112.0,APD3,P81929,DEF1,PEA
2167,AP00484,sp|Q8T9R8|STMX_STOCA,100.0,42,0,0,1,42,25,66,8.48e-20,76.3,APD3,Q8T9R8,STMX,STOCA
2168,AP00490,sp|E7EKD9|ODRB1_ODOHA,95.0,20,1,0,1,20,44,63,1.09e-08,47.0,APD3,E7EKD9,ODRB1,ODOHA
2172,AP00491,sp|E7EKD9|ODRB1_ODOHA,90.0,20,2,0,1,20,44,63,3.12e-08,45.8,APD3,E7EKD9,ODRB1,ODOHA
2177,AP00492,sp|P81474|MISG_MISAN,100.0,21,0,0,1,21,1,21,0.000104,36.2,APD3,P81474,MISG,MISAN
2178,AP00495,sp|P80359|HEVP_HEVBR,100.0,45,0,0,1,45,1,45,5.77e-31,103.0,APD3,P80359,HEVP,HEVBR
2203,AP00504,sp|Q8TAX7|MUC7_HUMAN,100.0,20,0,0,1,20,52,71,2.29e-07,46.2,APD3,Q8TAX7,MUC7,HUMAN
2204,AP00505,sp|P15516|HIS3_HUMAN,100.0,24,0,0,1,24,20,43,8.67e-10,49.7,APD3,P15516,HIS3,HUMAN
2206,AP00508,sp|P0C008|NIGR1_PELNI,100.0,33,0,0,1,33,1,33,4.36e-17,68.2,APD3,P0C008,NIGR1,PELNI
2231,AP00513,sp|P39084|RLXN_LITCT,100.0,20,0,0,1,20,47,66,2.72e-07,43.5,APD3,P39084,RLXN,LITCT
